plant_code,plant_name,state,nameplate_mw,distance_km,nearest_plant,capacity_w,transport_mode,freight_cost_per_w,total_freight_cost,co2_emissions_tons,carbon_cost,distance_bin
63351,Bluebell Solar II,TX,115.0,887.0,Louisiana,115000000.0,Rail,0.003548,408020.0,2244.1099999999997,190749.34999999998,500-1000km
63377,"ESA Hamlet NC , LLC",NC,5.0,696.0,Ohio,5000000.0,Rail,0.002784,13920.0,76.56,6507.6,500-1000km
63388,Oxy Renewable Energy - Goldsmith,TX,16.8,1057.1,Louisiana,16800000.0,Rail,0.004228399999999999,71037.12,390.70415999999994,33209.853599999995,1000-1500km
63400,Stearns Solar I,MN,1.0,989.6,Ohio,1000000.0,Rail,0.0039584,3958.4,21.7712,1850.5520000000001,500-1000km
63401,Olinda Trail Solar,MN,1.0,849.9,Ohio,1000000.0,Rail,0.0033995999999999996,3399.5999999999995,18.697799999999997,1589.3129999999999,500-1000km
63402,New Munich Solar,MN,1.0,1003.9,Ohio,1000000.0,Rail,0.004015599999999999,4015.5999999999995,22.0858,1877.293,1000-1500km
63403,Clara City Solar,MN,1.0,1020.3,Ohio,1000000.0,Rail,0.004081199999999999,4081.1999999999994,22.446599999999997,1907.9609999999998,1000-1500km
63440,Sun Streams 2,AZ,150.0,2020.9,Louisiana,150000000.0,Rail,0.0080836,1212540.0,6668.969999999999,566862.45,2000-3000km
63449,Lang Solar Farm,NC,5.0,884.1,Ohio,5000000.0,Rail,0.0035364,17682.0,97.25099999999999,8266.335,500-1000km
63461,Bonefish Solar,SC,2.0,659.9,Ohio,2000000.0,Rail,0.0026395999999999998,5279.2,29.0356,2468.026,500-1000km
63495,Durrance,FL,60.0,911.0,Alabama,60000000.0,Rail,0.0036439999999999997,218639.99999999997,1202.52,102214.2,500-1000km
63517,Santa Fe Solar Power Plant,FL,74.9,677.6,Alabama,74900000.0,Rail,0.0027104,203008.96,1116.54928,94906.68879999999,500-1000km
63629,"Hydra Community Solar Garden, LLC (CSG)",MN,1.0,841.9,Ohio,1000000.0,Rail,0.0033675999999999997,3367.5999999999995,18.5218,1574.3529999999998,500-1000km
63732,"ESA Buies Creek, LLC",NC,2.8,785.4,Ohio,2800000.0,Rail,0.0031415999999999996,8796.48,48.38063999999999,4112.354399999999,500-1000km
63733,"Eros Solar, LLC",NC,5.0,841.6,Ohio,5000000.0,Rail,0.0033664,16832.0,92.576,7868.959999999999,500-1000km
63734,"Ventura Solar, LLC",NC,5.0,572.3,Ohio,5000000.0,Rail,0.0022892,11446.0,62.952999999999996,5351.004999999999,500-1000km
